,初,名,終
0,645,大化,649
1,650,白雉,653
2,654,無名,685
3,686,朱鳥,685
4,686,無名,700
5,701,大宝,703
6,704,慶雲,707
7,708,和銅,714
8,715,霊亀,716
9,717,養老,723
10,724,神亀,728
11,729,天平,748
12,749,天平感宝,748
13,749,天平勝宝,756
14,757,天平宝字,764
15,765,天平神護,766
16,767,神護景雲,769
17,770,宝亀,780
18,781,天応,781
19,782,延暦,805
20,806,大同,809
21,810,弘仁,823
22,824,天長,833
23,834,承和,847
24,848,嘉祥,850
25,851,仁寿,853
26,854,斉衡,856
27,857,天安,858
28,859,貞観,876
29,877,元慶,884
30,885,仁和,888
31,889,寛平,897
32,898,昌泰,900
33,901,延喜,922
34,923,延長,930
35,931,承平,937
36,938,天慶,946
37,947,天暦,956
38,957,天徳,960
39,961,応和,963
40,964,康保,967
41,968,安和,969
42,970,天禄,972
43,973,天延,975
44,976,貞元,977
45,978,天元,982
46,983,永観,984
47,985,寛和,986
48,987,永延,987
49,988,永祚,989
50,990,正暦,994
51,995,長徳,998
52,999,長保,1003
53,1004,寛弘,1011
54,1012,長和,1016
55,1017,寛仁,1020
56,1021,治安,1023
57,1024,万寿,1027
58,1028,長元,1036
59,1037,長暦,1039
60,1040,長久,1043
61,1044,寛徳,1045
62,1046,永承,1052
63,1053,天喜,1057
64,1058,康平,1064
65,1065,治暦,1068
66,1069,延久,1073
67,1074,承保,1076
68,1077,承暦,1080
69,1081,永保,1083
70,1084,応徳,1086
71,1087,寛治,1093
72,1094,嘉保,1095
73,1096,永長,1096
74,1097,承徳,1098
75,1099,康和,1103
76,1104,長治,1105
77,1106,嘉承,1107
78,1108,天仁,1109
79,1110,天永,1112
80,1113,永久,1117
81,1118,元永,1119
82,1120,保安,1123
83,1124,天治,1125
84,1126,大治,1130
85,1131,天承,1131
86,1132,長承,1134
87,1135,保延,1140
88,1141,永治,1141
89,1142,康治,1143
90,1144,天養,1144
91,1145,久安,1150
92,1151,仁平,1153
93,1154,久寿,1155
94,1156,保元,1158
95,1159,平治,1159
96,1160,永暦,1160
97,1161,応保,1162
98,1163,長寛,1164
99,1165,永万,1165
100,1166,仁安,1168
101,1169,嘉応,1170
102,1171,承安,1174
103,1175,安元,1176
104,1177,治承,1180
105,1181,養和,1181
106,1182,寿永,1183
107,1184,元暦,1184
108,1185,文治,1189
109,1190,建久,1198
110,1199,正治,1200
111,1201,建仁,1203
112,1204,元久,1205
113,1206,建永,1206
114,1207,承元,1210
115,1211,建暦,1212
116,1213,建保,1218
117,1219,承久,1221
118,1222,貞応,1223
119,1224,元仁,1224
120,1225,嘉禄,1226
121,1227,安貞,1228
122,1229,寛喜,1231
123,1232,貞永,1232
124,1233,天福,1233
125,1234,文暦,1234
126,1235,嘉禎,1237
127,1238,暦仁,1238
128,1239,延応,1239
129,1240,仁治,1242
130,1243,寛元,1246
131,1247,宝治,1248
132,1249,建長,1255
133,1256,康元,1256
134,1257,正嘉,1258
135,1259,正元,1259
136,1260,文応,1260
137,1261,弘長,1263
138,1264,文永,1274
139,1275,建治,1277
140,1278,弘安,1287
141,1288,正応,1292
142,1293,永仁,1298
143,1299,正安,1301
144,1302,乾元,1302
145,1303,嘉元,1305
146,1306,徳治,1307
147,1308,延慶,1310
148,1311,応長,1311
149,1312,正和,1316
150,1317,文保,1318
151,1319,元応,1320
152,1321,元亨,1323
153,1324,正中,1325
154,1326,嘉暦,1328
155,1329,元徳,1330
156,1331,元弘,1333
157,1334,建武,1335
158,1336,延元,1339
159,1340,興国,1345
160,1346,正平,1369
161,1370,建徳,1371
162,1372,文中,1374
163,1375,天授,1380
164,1381,弘和,1383
165,1384,元中,1393
166,1394,応永,1427
167,1428,正長,1428
168,1429,永享,1440
169,1441,嘉吉,1443
170,1444,文安,1448
171,1449,宝徳,1451
172,1452,享徳,1454
173,1455,康正,1456
174,1457,長禄,1459
175,1460,寛正,1465
176,1466,文正,1466
177,1467,応仁,1468
178,1469,文明,1486
179,1487,長享,1488
180,1489,延徳,1491
181,1492,明応,1500
182,1501,文亀,1503
183,1504,永正,1520
184,1521,大永,1527
185,1528,享禄,1531
186,1532,天文,1554
187,1555,弘治,1557
188,1558,永禄,1569
189,1570,元亀,1572
190,1573,天正,1591
191,1592,文禄,1595
192,1596,慶長,1614
193,1615,元和,1623
194,1624,寛永,1643
195,1644,正保,1647
196,1648,慶安,1651
197,1652,承応,1654
198,1655,明暦,1657
199,1658,万治,1660
200,1661,寛文,1672
201,1673,延宝,1680
202,1681,天和,1683
203,1684,貞享,1687
204,1688,元禄,1703
205,1704,宝永,1710
206,1711,正徳,1715
207,1716,享保,1735
208,1736,元文,1740
209,1741,寛保,1743
210,1744,延享,1747
211,1748,寛延,1750
212,1751,宝暦,1763
213,1764,明和,1771
214,1772,安永,1780
215,1781,天明,1788
216,1789,寛政,1800
217,1801,享和,1803
218,1804,文化,1817
219,1818,文政,1829
220,1830,天保,1843
221,1844,弘化,1847
222,1848,嘉永,1853
223,1854,安政,1859
224,1860,万延,1860
225,1861,文久,1863
226,1864,元治,1864
227,1865,慶応,1867
228,1868,明治,1911
229,1912,大正,1925
230,1926,昭和,1988
231,1989,平成,2018
232,2019,令和,2022
