,番号,分類
0,0,総記
1,1,
2,2,知識、学問、学術
3,3,
4,4,
5,5,
6,6,
7,7,情報学、情報科学 
8,8,
9,9,
10,10,図書館、図書館情報学
11,11,図書館政策、図書館行財政
12,12,図書館建築、図書館設備
13,13,図書館経営・管理
14,14,情報資源の収集・組織化・保存
15,15,図書館サービス、図書館活動
16,16,各種の図書館
17,17,学校図書館
18,18,専門図書館
19,19,読書、読書法
20,20,図書、書誌学
21,21,著作、編集
22,22,写本、刊本、造本
23,23,出版
24,24,図書の販売
25,25,一般書誌、全国書誌
26,26,稀書目録、善本目録
27,27,特種目録
28,28,選定図書目録、参考図書目録
29,29,蔵書目録、総合目録
30,30,百科事典
31,31,日本語
32,32,中国語
33,33,英語
34,34,ドイツ語
35,35,フランス語
36,36,スペイン語
37,37,イタリア語
38,38,ロシア語
39,39,用語索引
40,40,一般論文集、一般講演集
41,41,日本語
42,42,中国語
43,43,英語
44,44,ドイツ語
45,45,フランス語
46,46,スペイン語
47,47,イタリア語
48,48,ロシア語
49,49,雑著
50,50,逐次刊行物
51,51,日本語
52,52,中国語
53,53,英語
54,54,ドイツ語
55,55,フランス語
56,56,スペイン語
57,57,イタリア語
58,58,ロシア語
59,59,一般年鑑
60,60,団体
61,61,学術・研究機関 
62,62,
63,63,文化交流機関 
64,64,
65,65,親睦団体、その他の団体 
66,66,
67,67,
68,68,
69,69,博物館
70,70,ジャーナリズム、新聞
71,71,日本
72,72,アジア
73,73,ヨーロッパ
74,74,アフリカ
75,75,北アメリカ
76,76,南アメリカ
77,77,オセアニア、両極地方
78,78,
79,79,
80,80,叢書、全集、選集
81,81,日本語
82,82,中国語
83,83,英語
84,84,ドイツ語
85,85,フランス語
86,86,スペイン語
87,87,イタリア語
88,88,ロシア語
89,89,その他の諸言語
90,90,貴重書、郷土資料、その他の特別コレクション
91,91,
92,92,
93,93,
94,94,
95,95,
96,96,
97,97,
98,98,
99,99,
100,100,哲学
101,101,哲学理論
102,102,哲学史
103,103,参考図書（レファレンスブック）
104,104,論文集、評論集、講演集
105,105,逐次刊行物
106,106,団体
107,107,研究法、指導法、哲学教育
108,108,叢書、全集、選集
109,109,
110,110,哲学各論
111,111,形而上学、存在論
112,112,自然哲学、宇宙論
113,113,人生観、世界観
114,114,人間学
115,115,認識論
116,116,論理学、弁証法、方法論
117,117,価値哲学
118,118,文化哲学、技術哲学
119,119,芸術哲学、美学 
120,120,東洋思想
121,121,日本思想
122,122,中国思想、中国哲学
123,123,経書
124,124,先秦思想、諸子百家
125,125,中世思想、近代思想
126,126,インド哲学、バラモン教 
127,127,
128,128,
129,129,その他の東洋思想、アジア哲学 
130,130,西洋哲学
131,131,古代哲学
132,132,中世哲学
133,133,近代哲学
134,134,ドイツ・オーストリア哲学
135,135,フランス・オランダ哲学
136,136,スペイン・ポルトガル哲学
137,137,イタリア哲学
138,138,ロシア哲学
139,139,その他の哲学
140,140,心理学
141,141,普通心理学、心理各論
142,142,
143,143,発達心理学
144,144,
145,145,異常心理学
146,146,臨床心理学、精神分析学
147,147,超心理学、心霊研究
148,148,相法、易占
149,149,応用心理学 
150,150,倫理学、道徳
151,151,倫理各論
152,152,家庭倫理、性倫理
153,153,職業倫理
154,154,社会倫理（社会道徳）
155,155,国体論、詔勅
156,156,武士道
157,157,報徳教、石門心学
158,158,その他の特定主題
159,159,人生訓、教訓
160,160,宗教
161,161,宗教学、宗教思想
162,162,宗教史・事情 
163,163,原始宗教、宗教民族学
164,164,神話、神話学 
165,165,比較宗教
166,166,道教
167,167,イスラム
168,168,ヒンズー教、ジャイナ教
169,169,その他の宗教、新興宗教
170,170,神道
171,171,神道思想、神道説
