,Index,Family,Genus,Scientific Name,Japanese Name,Other Name,Western Name,Derivation,Season,In Bloom,Signifies,Search Names,Variants,青（ムーンダスト）,ドラセナ・フラグランス（幸福の木）,青,トゲ,ヒメユリ,黄,クルマユリ,プリムラ・シネンシス,ジャーマンアイリス,ササユリ,カノコユリ,プリムラ・オブコニカ,葉,カサブランカ,ハゴロモジャスミン,白いつぼみ,シダレヤナギ,ソメイヨシノ,ドラセナ・サンデリアーナ（ミリオンバンブー）,実,四つ葉,オニユリ,オレンジ,サトザクラ、ヤエザクラ,ピンク,シダレザクラ,ハナショウブ,プリムラ・ポリアンサ,プリムラ・マラコイデス,ヤマユリ,赤,赤いつぼみ,スカシユリ,白,クチベニズイセン,テッポウユリ,紫,ラッパスイセン,緋色,ドラセナ・コンシンネ,花,赤・ピンク,ロベリア・カーディナリス,フユザクラ,カンザクラ,木,ギンモクセイ,プリムラ・ジュリアン,デンファレ,ネコヤナギ,ヤマザクラ,カキツバタ
ヒマワリ,251,キク科,ヒマワリ属,Helianthus annuus,向日葵（ヒマワリ）,['日輪草（ニチリンソウ）'],['Sunflower'],和名の「向日葵（ヒマワリ）」は、花が太陽の方向を追うように動くことに由来します。英語では「太陽の花（Sunflower）」と呼ばれます。,夏,['7月～9月'],['私はあなただけを見つめる'],"['ヒマワリ', 'ニチリンソウ', '向日葵', '日輪草', 'ひまわり', 'にちりんくさ', 'ニチリンクサ', 'にちりんそう']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
,[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
スミレ,167,スミレ科,スミレ属,Viola mandshurica,菫（スミレ）,['相撲取草（スモウトリクサ）'],['Violet'],花名のスミレは、花の形状が墨入れ（墨壺）に似ていることに由来するともいわれます。,春,['3月～5月'],['謙虚'],"['菫', 'すもうとりくさ', '相撲取草', 'スミレ', 'すみれ', 'スモウトリクサ']","['≪紫≫「貞節」「愛」', '≪白≫「あどけない恋」「無邪気な恋」「純潔」', '≪黄≫「田園の幸福」「つつましい喜び」']",[''],[''],[''],[''],[''],"['田園の幸福', 'つつましい喜び']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],"['あどけない恋', '無邪気な恋', '純潔']",[''],[''],"['貞節', '愛']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ミソハギ,319,ミソハギ科,ミソハギ属,Lythrum anceps,禊萩（ミソハギ）,['盆花（ボンバナ）、精霊花（ショウリョウバナ）、水掛草（ミズカケグサ）'],[],属名の学名「Lythrum（リスラム）」は、ギリシア語の「lythron（血）」を語源とし、血のような花色にちなむといわれます。和名の「禊萩（ミソハギ）」は、萩（ハギ）に似て、禊（みそぎ）（花穂を水に浸してお盆のお供え物に水をかけて清める）に使うことに由来するといわれます。また溝に生えることから「溝萩（ミゾハギ）」が転訛したという説もあります。お盆の頃に咲き、盆花や禊などに利用されてきたことから盆花（ボンバナ）、精霊花（ショウリョウバナ）、水掛草（ミズカケグサ）といった別名もあります。,夏,['7月～9月'],['切ないほどの愛'],"['ミズガカリクサ', 'せいれいはな', 'みずがかりくさ', 'ショウリョウバナ', 'みそはぎ', 'ミソギハギ', '盆花', 'しょうりょうばな', '精霊花', 'ボンバナ', 'みずかけぐさ', 'ミソハギ', '禊萩', 'セイレイハナ', 'みそぎはぎ', 'ミズカケグサ', 'ぼんばな', '水掛草']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ネモフィラ,218,ムラサキ科,ネモフィラ属,Nemophila menziesii,瑠璃唐草（ルリカラクサ）,['ネモフィラ'],"['Baby blue eyes, Nemophila']",属名の学名「Nemophila（ネモフィラ）」は、ギリシア語の「nemos（小さな森）」と「phileo（愛する）」を語源とし、原種が森の周辺の明るい日だまりに自生することに由来します。青い花の中心が白いその花姿から英語では「Baby blue eyes（赤ちゃんの青い瞳）」と呼ばれています。,春,['4月～5月'],['どこでも成功'],"['ねもふぃら', 'るりからくさ', '瑠璃唐草', 'ネモフィラ', 'ルリカラクサ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ガマズミ,69,スイカズラ科,ガマズミ属,Viburnum dilatatum,莢蒾、蒲染（ともにガマズミ）,['ヨツズミ、ヨウゾメ'],"['Linden viburnum, Linden arrow-wood']",属名の学名「Viburnum（ビバーナム）」は、ラテン語のガマズミの古名に由来するといわれます。和名の「莢蒾（ガマズミ）」の由来は諸説あり、その堅い材を鍬（カマ）の柄に用い、果実を染（ソメ）物に用いたことから「ガマズミ」と呼ばれるようになったという説などがあります。英語では「Linden viburnum（リンデン・ビバーナム）」などと呼ばれています。,初夏,['5月～6月'],['結合'],"['かまそめ', 'らい', 'ヨウゾメ', 'トモニガマズミ', 'ライ', 'ようぞめ', 'ヨツズミ', 'カマソメ', 'よつずみ', 'ともにガマズミ', '莢蒾', 'ともにがまずみ', '蒲染']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ブバルディア,268,アカネ科,ブバルディア属,Bouvardia hybrida,ブバルディア,['ブバリア、蟹の目（カニノメ）、寒丁字（カンチョウジ）'],['Bouvardia'],属名の学名「Bouvardia（ブバルディア）」は、ルイ13世の侍医でありパリ植物園の園長でもあったシャルル・ブバール（Charles Bouvard / 1572～1658）の名前にちなみます。つぼみの状態がカニの目に似ていることから「蟹の目」の別名もあります。,秋～冬,['10月～12月'],['交流'],"['蟹の目', 'ブバリア', 'ぶばるでぃあ', 'かにのめ', 'カンチョウジ', 'ブバルディア', 'ぶばりあ', 'かんていじ', 'カニノメ', 'カンテイジ', '寒丁字', 'かんちょうじ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
イチョウ,31,イチョウ科,イチョウ属,Ginkgo biloba,銀杏、公孫樹、鴨脚樹（すべてイチョウ）,[],"['Ginkgo, Gingko, Maidenhair tree']",属名の学名「Ginkgo（ギンコウ）」は、日本名「銀杏」の音読み「ギンキョウ」がもとになり、その「Ginkjo」を「Ginkgo」と誤植したことにちなみます。英語では「Ginkgo（ギンコウ）」や「Maidenhair tree（乙女の毛の木）」と呼ばれます。,春（花）、秋（黄葉）,['4月～5月'],['荘厳'],"['イチョウ', 'すべていちょう', '鴨脚樹', 'スベテイチョウ', '公孫樹', 'いちょうき', 'すべてイチョウ', 'いちょう', '銀杏', 'イチョウキ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ゲッカビジン,102,サボテン科,クジャクサボテン属,Epiphyllum oxypetalum,月下美人（ゲッカビジン）,[],['Dutchman’s pipe cactus'],花名の月下美人は、この花が夜に咲き始め、翌朝までにしぼんでしまうことに由来します。,夏～秋,['6月～11月'],['はかない美'],"['ゲッカビジン', '月下美人', 'げっかびじん']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
サンザシ,123,バラ科,サンザシ属,Crataegus cuneata,山査子（サンザシ）,[],"['Chinese hawthorn, Japanese hawthorn']",属名の学名「Crataegus（クラタエグス）」は、ギリシア語の「kratos（力）」「agein（持つ）」が語源で、この属の材が堅いことに由来するといわれます。近縁種でよく似たヨーロッパ原産のセイヨウサンザシは英語でホーソーン（Hawthorn）といいますが、5月に花を咲かせることから5月の花（Mayflower）とも呼ばれます。,初夏,['5月～6月'],['希望'],"['山査子', 'さんざし', 'サンザシ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
